HDI rank,Country,Human Development Index (HDI) ,Expected years of schooling,Mean years of schooling ,Gross_National_Income,Life expectancy at birth,HDI Rank Value(2020),Population Value(2021),Population Value(2020),Area (sq_km)
117,Botswana,0.69,12.3,10.3,16198,61.1,110,2423535,2351627,582000
118,Bolivia,0.69,14.9,9.8,8111,63.6,119,11927124,11673021,1098581
118,Kyrgyzstan,0.69,13.2,11.4,4566,70,121,6689349,6524195,199951
120,Venezuela,0.69,12.8,11.1,4811,70.6,118,28842889,28435940,916445
121,Iraq,0.69,12.1,7.9,9977,70.4,122,41750703,40222493,438317
122,Tajikistan,0.69,11.7,11.3,4548,71.6,126,9873338,9537645,143100
123,Belize,0.68,13,8.8,6309,70.5,120,409224,397628,22966
123,Morocco,0.68,14.2,5.9,7303,74,122,37599544,36910560,446550
125,El Salvador,0.68,12.7,7.2,8296,70.7,124,6537250,6486205,21041
126,Nicaragua,0.67,12.6,7.1,5625,73.8,129,6748507,6624554,130373
127,Bhutan,0.67,13.2,5.2,9438,71.8,125,784855,771608,38394
128,Cabo Verde,0.66,12.6,6.3,6230,74.1,127,561898,555987,4033
129,Bangladesh,0.66,12.4,7.4,5472,72.4,128,167247491,164689383,147570
130,Tuvalu,0.64,9.4,10.6,6351,64.5,131,11931,11792,26
131,Marshall Islands,0.64,10.2,10.9,4620,65.3,131,59610,59190,181
132,India,0.63,11.9,6.7,6590,67.2,130,1401310563,1380004385,3287590
133,Ghana,0.63,12,8.3,5745,63.8,135,32120718,31072940,238533
134,Micronesia,0.63,11.5,7.8,3696,70.7,136,116901,115023,702
135,Guatemala,0.63,10.6,5.7,8723,69.2,133,18446417,17915568,108889
136,Kiribati,0.62,11.8,8,4063,67.4,137,122470,119449,811
137,Honduras,0.62,10.1,7.1,5298,70.1,138,10156097,9904607,112492
138,Sao Tome and Principe,0.62,13.4,6.2,4021,67.6,139,225954,219159,964
139,Namibia,0.62,11.9,7.2,8634,59.3,134,2614500,2540905,825615
140,Laos,0.61,10.1,5.4,7700,68.1,142,7439920,7275560,236800
140,Timor-Leste,0.61,12.6,5.4,4461,67.7,140,1358744,1318445,14874
140,Vanuatu,0.61,11.5,7.1,3085,70.4,142,318774,307145,12189
